Area,AspectRation,Compactness,ConvexArea,Class
28395,1.197191424,0.913357755,28715,SEKER
28734,1.097356461,0.953860842,29172,SEKER
29380,1.209712656,0.908774239,29690,SEKER
30008,1.153638059,0.928328835,30724,SEKER
30140,1.06079802,0.970515523,30417,SEKER
30279,1.171066849,0.923725952,30600,SEKER
30477,1.146768336,0.933373552,30970,SEKER
30519,1.165590535,0.925480392,30847,SEKER
30685,1.165852108,0.925658498,31044,SEKER
30834,1.2008339,0.91212543,31120,SEKER
30917,1.157884618,0.929038343,31280,SEKER
31091,1.117664622,0.945254305,31458,SEKER
31107,1.160455295,0.927163162,31423,SEKER
31158,1.178826797,0.92005198,31492,SEKER
31158,1.132879009,0.939218858,31474,SEKER
31178,1.141582018,0.935510513,31520,SEKER
31202,1.168963657,0.924305534,31573,SEKER
31203,1.163315112,0.926782809,31558,SEKER
31272,1.132851229,0.939237666,31593,SEKER
31335,1.177161395,0.921362386,31599,SEKER
31374,1.207992784,0.909040279,31604,SEKER
31530,1.136755746,0.937213391,31791,SEKER
31573,1.171793345,0.922654737,32197,SEKER
31637,1.308863717,0.873685862,32045,SEKER
31675,1.3828156,0.848239622,32009,SEKER
31682,1.092574316,0.956197485,32026,SEKER
31703,1.151845384,0.931401991,32093,SEKER
31748,1.193690859,0.914812218,32020,SEKER
31768,1.205504947,0.910201041,32173,SEKER
31811,1.238051321,0.898515141,32052,SEKER
31821,1.125106823,0.941748668,32168,SEKER
31823,1.225284154,0.903168466,32274,SEKER
31837,1.246471264,0.89517394,32238,SEKER
31915,1.150240653,0.93186947,32184,SEKER
31972,1.120866215,0.944193232,32246,SEKER
31992,1.111757361,0.948038274,32258,SEKER
31994,1.102632806,0.951267141,32391,SEKER
32015,1.110108127,0.948189147,32375,SEKER
32026,1.305469433,0.874246265,32349,SEKER
32038,1.233820224,0.899716352,32308,SEKER
32044,1.143813985,0.934499156,32395,SEKER
32057,1.140593884,0.935679416,32301,SEKER
32066,1.364864213,0.854599524,32481,SEKER
32109,1.230899418,0.90075274,32567,SEKER
32114,1.211220556,0.908165329,32393,SEKER
32167,1.158103377,0.928501286,32521,SEKER
32213,1.195286422,0.914395217,32585,SEKER
32218,1.207974042,0.90923218,32566,SEKER
32233,1.192040817,0.915702021,32710,SEKER
32251,1.187892253,0.917005183,32514,SEKER
32258,1.185348348,0.917839581,32612,SEKER
32262,1.206953791,0.910087409,32563,SEKER
32279,1.15713587,0.929173821,32623,SEKER
32323,1.146526426,0.933272294,32615,SEKER
32338,1.189512059,0.916456329,32672,SEKER
32355,1.18737462,0.917242866,32720,SEKER
32368,1.190581987,0.915860765,32806,SEKER
32376,1.163725525,0.926541314,32608,SEKER
32433,1.169286684,0.924375508,32775,SEKER
32465,1.225977906,0.902796056,32767,SEKER
32514,1.183349841,0.918805149,32843,SEKER
32518,1.181605154,0.919620402,32811,SEKER
32518,1.176673909,0.921459408,32842,SEKER
32525,1.221823306,0.904130132,33000,SEKER
32578,1.241712486,0.89705595,32901,SEKER
32581,1.213605695,0.907543857,32851,SEKER
32615,1.142115946,0.934146543,33016,SEKER
32622,1.328027061,0.866247896,32902,SEKER
32698,1.215348733,0.906787962,32994,SEKER
32705,1.20266426,0.911496183,33021,SEKER
32713,1.113340533,0.947407115,33020,SEKER
32729,1.099961565,0.952727566,33066,SEKER
32774,1.188771846,0.916575134,33120,SEKER
32775,1.159189666,0.928440728,33062,SEKER
32795,1.213415795,0.907341385,33091,SEKER
32796,1.190621317,0.915751462,33111,SEKER
32799,1.156713709,0.929285523,33087,SEKER
32829,1.172467827,0.922603526,33154,SEKER
32836,1.138962252,0.936193476,33225,SEKER
32849,1.269492841,0.886393473,33245,SEKER
32870,1.159653709,0.928379984,33198,SEKER
32885,1.230319577,0.90115436,33225,SEKER
32920,1.144315272,0.934450294,33376,SEKER
32925,1.207370616,0.909469438,33252,SEKER
32934,1.167756413,0.924873972,33401,SEKER
32947,1.047159612,0.97673884,33336,SEKER
32951,1.221685649,0.903723266,33524,SEKER
32988,1.20074238,0.911863953,33461,SEKER
33006,1.187442927,0.917107114,33458,SEKER
33010,1.203762369,0.911277783,33374,SEKER
33013,1.190144523,0.916162872,33289,SEKER
33019,1.197051022,0.913517768,33340,SEKER
33051,1.137563711,0.936913921,33423,SEKER
33058,1.194635275,0.914074748,33320,SEKER
33062,1.169973519,0.924038522,33439,SEKER
33078,1.316483846,0.871210282,33333,SEKER
33078,1.163022358,0.926985107,33327,SEKER
33089,1.119093377,0.944420849,33466,SEKER
33090,1.236712666,0.898658427,33352,SEKER
33143,1.172812181,0.923144321,33377,SEKER
33159,1.170878708,0.923708669,33415,SEKER
33168,1.297552191,0.877028274,33542,SEKER
33171,1.167534946,0.924667176,33429,SEKER
33194,1.275820505,0.88495191,33520,SEKER
33236,1.049424005,0.975594507,33611,SEKER
33248,1.259176693,0.890804821,33511,SEKER
33251,1.115233763,0.946223398,33565,SEKER
33276,1.299286096,0.876686794,33857,SEKER
33316,1.237148493,0.898530058,33699,SEKER
33319,1.191598158,0.915345918,33732,SEKER
33325,1.179669807,0.920302508,33701,SEKER
33330,1.184387496,0.918178168,33580,SEKER
33333,1.144328878,0.934161662,33834,SEKER
33338,1.269766497,0.887040223,33639,SEKER
33344,1.194253546,0.914466735,33692,SEKER
33382,1.167346605,0.925037671,33730,SEKER
33399,1.153418042,0.930744648,33752,SEKER
33421,1.131522436,0.939600078,33691,SEKER
33423,1.179949356,0.920246246,33707,SEKER
33427,1.222891486,0.903949156,33789,SEKER
33429,1.235586679,0.899158159,33713,SEKER
33431,1.135413444,0.938188022,33788,SEKER
33433,1.186934863,0.916970503,33708,SEKER
33446,1.178586895,0.920292359,33713,SEKER
33447,1.198038824,0.912635435,33791,SEKER
33459,1.12638252,0.941910858,33765,SEKER
33468,1.181652029,0.91966805,33748,SEKER
33498,1.21686354,0.906040516,33745,SEKER
33534,1.121171948,0.944194798,33793,SEKER
33538,1.210566012,0.908252449,33800,SEKER
33539,1.169889288,0.923838579,33915,SEKER
33547,1.069167543,0.966868717,33832,SEKER
33560,1.213352027,0.906886164,33897,SEKER
33576,1.179172355,0.920622505,33927,SEKER
33583,1.149057171,0.93266883,33868,SEKER
33584,1.169218404,0.924244739,33884,SEKER
33607,1.076387518,0.963176382,34162,SEKER
33620,1.158927754,0.928721179,34012,SEKER
33623,1.102941394,0.951853178,33918,SEKER
33631,1.178953771,0.92014435,34009,SEKER
33639,1.177150939,0.921181537,33919,SEKER
33717,1.247609077,0.894537867,33985,SEKER
33731,1.242015871,0.896467219,34073,SEKER
33736,1.140387786,0.936145442,33988,SEKER
33794,1.114062631,0.947176588,34127,SEKER
33809,1.230189184,0.901106877,34143,SEKER
33824,1.130438948,0.940067907,34079,SEKER
33838,1.152415344,0.930902346,34146,SEKER
33845,1.188221248,0.916982789,34159,SEKER
33849,1.138382624,0.93678016,34239,SEKER
33858,1.27259641,0.886030247,34142,SEKER
33860,1.177598412,0.920628804,34319,SEKER
33864,1.134073805,0.938656768,34167,SEKER
33866,1.23584543,0.899196229,34171,SEKER
33876,1.20608691,0.910295136,34211,SEKER
33930,1.162243676,0.927270341,34251,SEKER
33946,1.238003462,0.897880563,34246,SEKER
33946,1.273808035,0.885594271,34280,SEKER
33961,1.311240651,0.87300597,34379,SEKER
33961,1.255099849,0.892025454,34279,SEKER
33969,1.141669311,0.935268259,34260,SEKER
33972,1.25319359,0.892650724,34349,SEKER
33993,1.114962639,0.946716153,34299,SEKER
33996,1.147727915,0.932559367,34285,SEKER
34004,1.210898964,0.908387772,34277,SEKER
34027,1.236085487,0.898504258,34334,SEKER
34036,1.187417987,0.917352422,34369,SEKER
34051,1.193832824,0.914761275,34502,SEKER
34053,1.24436186,0.895837186,34362,SEKER
34060,1.119646032,0.944691865,34367,SEKER
34082,1.22419118,0.903249117,34364,SEKER
34097,1.193957013,0.914582595,34502,SEKER
34104,1.210688207,0.908061515,34421,SEKER
34113,1.125855866,0.941990931,34492,SEKER
34130,1.274725908,0.885026037,34392,SEKER
34131,1.157549753,0.929237411,34473,SEKER
34151,1.231222027,0.900700206,34580,SEKER
34151,1.17836629,0.920536431,34389,SEKER
34179,1.16254527,0.926905486,34576,SEKER
34191,1.1517228,0.931536651,34445,SEKER
34207,1.191296024,0.91519969,34515,SEKER
34207,1.180435819,0.919874857,34421,SEKER
34220,1.247240782,0.895154791,34577,SEKER
34222,1.143721216,0.93480797,34576,SEKER
34239,1.239510475,0.897314723,34510,SEKER
34246,1.21010116,0.908249044,34732,SEKER
34253,1.191440814,0.915928067,34556,SEKER
34254,1.148975344,0.932444792,34575,SEKER
34259,1.185944914,0.917857473,34623,SEKER
34276,1.205594039,0.910030285,34738,SEKER
34291,1.216397453,0.905892129,34619,SEKER
34313,1.115243208,0.946067007,34600,SEKER
34321,1.188547268,0.916870698,34652,SEKER
34327,1.221092393,0.904406791,34714,SEKER
34333,1.200883421,0.912153982,34592,SEKER
34337,1.205514668,0.909857612,34583,SEKER
34349,1.296673425,0.877836008,34645,SEKER
34390,1.368991991,0.854041663,34759,SEKER
34394,1.215980692,0.90621808,34730,SEKER
34395,1.224786513,0.903118094,34638,SEKER
34397,1.20343992,0.910779256,34776,SEKER
34410,1.230329164,0.900436348,34802,SEKER
34412,1.248458481,0.894685269,34677,SEKER
34419,1.14583779,0.933960539,34885,SEKER
34421,1.228676843,0.900789597,34762,SEKER
34425,1.233838406,0.899905832,34791,SEKER
34428,1.20040554,0.911356975,34908,SEKER
34441,1.191660824,0.915652939,34826,SEKER
34443,1.250754642,0.892614563,34874,SEKER
34447,1.152349161,0.93042111,34853,SEKER
34461,1.384870389,0.84899487,34691,SEKER
34469,1.205055483,0.910213729,34747,SEKER
34474,1.159255102,0.92846748,34774,SEKER
34475,1.321732487,0.869185244,34878,SEKER
34483,1.239426102,0.896444062,35051,SEKER
34491,1.236543276,0.898693024,34829,SEKER
34503,1.272478978,0.886074778,34885,SEKER
34509,1.206420478,0.910063526,34776,SEKER
34521,1.148568576,0.932796198,34830,SEKER
34523,1.22232617,0.904017105,34878,SEKER
34532,1.070577908,0.966188711,35057,SEKER
34543,1.254827198,0.892347354,34826,SEKER
34543,1.170142039,0.923966472,34827,SEKER
34594,1.236013359,0.899038984,34848,SEKER
34600,1.215150492,0.906910077,34919,SEKER
34601,1.163316482,0.926603028,35048,SEKER
34622,1.261293312,0.889918362,35010,SEKER
34623,1.179278959,0.920094597,34965,SEKER
34626,1.217464754,0.905476447,34913,SEKER
34629,1.22905782,0.900688456,34915,SEKER
34631,1.191970436,0.915617022,34953,SEKER
34635,1.167929264,0.924838401,34929,SEKER
34638,1.246101199,0.894820747,34989,SEKER
34666,1.153016616,0.930458681,35034,SEKER
34671,1.255474903,0.89183041,35015,SEKER
34676,1.160116359,0.927901791,34982,SEKER
34680,1.20927171,0.908635052,34941,SEKER
34700,1.2328649,0.899685942,35154,SEKER
34703,1.203411104,0.910878618,35025,SEKER
34722,1.167037322,0.925200082,34999,SEKER
34729,1.181519496,0.919021523,35043,SEKER
34733,1.177794388,0.921018737,35019,SEKER
34747,1.242756379,0.896800867,35043,SEKER
34748,1.103966864,0.951370963,35046,SEKER
34750,1.124267613,0.942411414,35091,SEKER
34757,1.206382936,0.909771371,35150,SEKER
34761,1.191041073,0.915735824,35171,SEKER
34766,1.215615541,0.90618391,35054,SEKER
34771,1.199811896,0.91249341,35163,SEKER
34772,1.173467221,0.922665425,35103,SEKER
34774,1.178190729,0.920775931,35139,SEKER
34787,1.198346811,0.911635401,35126,SEKER
34792,1.173378219,0.922991502,35231,SEKER
34794,1.270048194,0.886259501,35187,SEKER
34794,1.262442101,0.889554436,35052,SEKER
34800,1.15858982,0.928785493,35120,SEKER
34841,1.210560116,0.908014846,35137,SEKER
34841,1.126890634,0.941435819,35122,SEKER
34847,1.257167299,0.890926981,35229,SEKER
34850,1.195491391,0.914135723,35119,SEKER
34865,1.137331977,0.937141378,35256,SEKER
34878,1.143372259,0.934869339,35188,SEKER
34878,1.182248699,0.919035967,35217,SEKER
34879,1.253691263,0.892215595,35298,SEKER
34879,1.125365442,0.941622791,35258,SEKER
34882,1.237386093,0.898607117,35219,SEKER
34883,1.213372114,0.907132586,35182,SEKER
34895,1.142658305,0.93527832,35227,SEKER
34911,1.24289736,0.896182041,35252,SEKER
34911,1.214329904,0.90721467,35204,SEKER
34912,1.192614885,0.91543705,35245,SEKER
34924,1.422153122,0.816318003,37992,SEKER
34934,1.188119517,0.916327838,35445,SEKER
34936,1.208127223,0.908990973,35353,SEKER
34945,1.239697891,0.897632113,35231,SEKER
34958,1.200686059,0.912271853,35254,SEKER
34960,1.26395208,0.888107225,35342,SEKER
34968,1.272371851,0.886166314,35218,SEKER
34968,1.317327882,0.868963662,35858,SEKER
34971,1.238875312,0.897921335,35269,SEKER
34980,1.217755417,0.905717705,35276,SEKER
34995,1.259706645,0.89069024,35298,SEKER
35022,1.203695806,0.910844644,35293,SEKER
35031,1.205317841,0.910051635,35369,SEKER
35042,1.140066481,0.936229784,35380,SEKER
35049,1.173717518,0.922629192,35349,SEKER
35059,1.183766279,0.918474918,35314,SEKER
35062,1.114913642,0.946355923,35579,SEKER
35066,1.173849668,0.922546807,35356,SEKER
35069,1.224998628,0.902114988,35563,SEKER
35081,1.232008674,0.900122646,35395,SEKER
35083,1.17809071,0.920316496,35513,SEKER
35083,1.162036344,0.927038093,35477,SEKER
35085,1.352360811,0.85940042,35658,SEKER
35087,1.258904995,0.890720911,35477,SEKER
35091,1.140733811,0.935898273,35466,SEKER
35091,1.207015536,0.909123949,35452,SEKER
35105,1.207179116,0.909806632,35508,SEKER
35106,1.194062723,0.914791398,35503,SEKER
35106,1.226969922,0.902099529,35445,SEKER
35122,1.200125505,0.912301329,35481,SEKER
35123,1.214686329,0.906725796,35457,SEKER
35128,1.16551566,0.925936078,35376,SEKER
35130,1.277960112,0.884226554,35473,SEKER
35131,1.228354534,0.901809544,35466,SEKER
35134,1.143015081,0.934757008,35360,SEKER
35145,1.32692391,0.867793162,35444,SEKER
35149,1.274817232,0.885405629,35509,SEKER
35162,1.182836542,0.919029673,35450,SEKER
35165,1.21050688,0.908597888,35463,SEKER
35175,1.14729968,0.933113255,35707,SEKER
35176,1.240850257,0.89753302,35499,SEKER
35208,1.200668725,0.911493481,35535,SEKER
35221,1.254592021,0.892468665,35484,SEKER
35223,1.190169675,0.915695074,35537,SEKER
35237,1.218227333,0.905467841,35502,SEKER
35246,1.284005131,0.882338556,35599,SEKER
35247,1.228802962,0.90150006,35605,SEKER
35254,1.127053674,0.941356056,35676,SEKER
35259,1.227878103,0.902040847,35577,SEKER
35272,1.199034975,0.912931934,35619,SEKER
35272,1.17736212,0.921062412,35637,SEKER
35277,1.263692661,0.88841692,35527,SEKER
35283,1.115210578,0.946320488,35589,SEKER
35287,1.112003227,0.947872803,35627,SEKER
35288,1.202875256,0.911211291,35608,SEKER
35300,1.261691547,0.88995837,35640,SEKER
35302,1.236937262,0.898595039,35644,SEKER
35304,1.221668473,0.903669695,35737,SEKER
35313,1.207332956,0.909440889,35743,SEKER
35316,1.256471073,0.891808578,35637,SEKER
35321,1.204400635,0.910372609,35670,SEKER
35330,1.221977466,0.903911129,35655,SEKER
35337,1.164519444,0.926332106,35671,SEKER
35338,1.148565094,0.932516916,35669,SEKER
35339,1.16202992,0.9268109,35667,SEKER
35344,1.218424594,0.905142879,35807,SEKER
35352,1.189405053,0.916363955,35760,SEKER
35354,1.225133955,0.902772219,35726,SEKER
35354,1.249617554,0.894119318,35666,SEKER
35364,1.09569225,0.9545666,35761,SEKER
35376,1.241944882,0.896980387,35693,SEKER
35377,1.255328656,0.89221145,35712,SEKER
35384,1.232226973,0.900311181,35698,SEKER
35402,1.182561043,0.919053976,35696,SEKER
35403,1.21312411,0.907369539,35713,SEKER
35408,1.295847286,0.877665888,35765,SEKER
35410,1.15760602,0.92904279,35997,SEKER
35412,1.151864973,0.931298758,35693,SEKER
35414,1.245682899,0.895450181,35729,SEKER
35432,1.209728147,0.908689911,35757,SEKER
35437,1.150348272,0.931489499,35804,SEKER
35438,1.203754804,0.910957891,35726,SEKER
35438,1.217095582,0.906101858,35725,SEKER
35442,1.240122774,0.896827076,36046,SEKER
35442,1.157746424,0.928631332,35791,SEKER
35450,1.230760623,0.901003446,35744,SEKER
35454,1.227669824,0.902063072,35744,SEKER
35467,1.13894534,0.936358009,35845,SEKER
35473,1.284609638,0.881650837,35874,SEKER
35481,1.251558634,0.893418841,35754,SEKER
35499,1.154150283,0.930335038,35887,SEKER
35507,1.265002471,0.888775404,35835,SEKER
35510,1.13961546,0.936083459,35799,SEKER
35511,1.097921389,0.948665399,36641,SEKER
35517,1.199574205,0.912691478,35881,SEKER
35532,1.179838493,0.920347405,35820,SEKER
35534,1.178886868,0.920379413,35921,SEKER
35539,1.342422904,0.860995462,35853,SEKER
35544,1.190767783,0.916032941,35949,SEKER
35555,1.252209332,0.89308593,36021,SEKER
35565,1.139990154,0.93621424,35922,SEKER
35589,1.217982743,0.905580377,35977,SEKER
35598,1.323978814,0.86755582,36045,SEKER
35602,1.276076323,0.884700428,35941,SEKER
35605,1.329157076,0.867087135,35968,SEKER
35608,1.272711709,0.885754642,35997,SEKER
35609,1.167537238,0.925097234,36002,SEKER
35610,1.209479513,0.908302398,35888,SEKER
35615,1.193515219,0.913921554,36004,SEKER
35634,1.21688048,0.905924803,36006,SEKER
35647,1.20162407,0.911981504,35993,SEKER
35647,1.227799423,0.902122507,35927,SEKER
35652,1.138467675,0.936612051,36002,SEKER
35672,1.282631188,0.882632526,36078,SEKER
35677,1.224393188,0.903202572,36120,SEKER
35680,1.171915431,0.923049804,35991,SEKER
35683,1.234323718,0.898745712,36188,SEKER
35684,1.241782084,0.896760232,35953,SEKER
35690,1.222356513,0.904051721,36122,SEKER
35690,1.249668787,0.894214261,36059,SEKER
35693,1.159187168,0.928392867,35997,SEKER
35699,1.229557277,0.900843008,36104,SEKER
35702,1.19878162,0.912985311,36067,SEKER
35703,1.219774628,0.905319999,36029,SEKER
35703,1.163859107,0.92654092,35987,SEKER
35704,1.278019339,0.884317963,35994,SEKER
35720,1.230638268,0.900963087,36074,SEKER
35720,1.273536917,0.885589828,36024,SEKER
35725,1.212734286,0.906956028,36053,SEKER
35730,1.288447037,0.880578625,36142,SEKER
35734,1.363856125,0.855023198,36085,SEKER
35735,1.217423792,0.905797477,36043,SEKER
35736,1.218659779,0.905147292,36088,SEKER
35738,1.239517001,0.896844141,36051,SEKER
35758,1.25687997,0.891155421,36049,SEKER
35762,1.228916073,0.901041803,36157,SEKER
35764,1.083006788,0.960693225,36032,SEKER
35772,1.322236437,0.869274851,36140,SEKER
35777,1.073362406,0.964353955,36174,SEKER
35781,1.265089469,0.888683792,36108,SEKER
35789,1.196667648,0.913738897,36146,SEKER
35795,1.366888653,0.854840019,36189,SEKER
35795,1.134910522,0.938125093,36124,SEKER
35804,1.226254588,0.90247279,36096,SEKER
35809,1.187399664,0.917259465,36094,SEKER
35822,1.211943065,0.907222327,36203,SEKER
35835,1.236903883,0.898611445,36190,SEKER
35838,1.214148986,0.907047598,36193,SEKER
35838,1.278403285,0.883584578,36131,SEKER
35842,1.179823487,0.920356163,36127,SEKER
35845,1.149592419,0.931695943,36169,SEKER
35853,1.16714628,0.925034963,36172,SEKER
35864,1.169480599,0.923708512,36158,SEKER
35872,1.182918585,0.918994092,36214,SEKER
35901,1.225589753,0.902677824,36225,SEKER
35901,1.237954388,0.898220798,36216,SEKER
35915,1.243954629,0.896097132,36222,SEKER
35923,1.155018033,0.929924807,36239,SEKER
35932,1.28446813,0.882045042,36273,SEKER
35954,1.382638877,0.85018443,36380,SEKER
35955,1.284479136,0.881934194,36232,SEKER
35955,1.402359694,0.843481888,36295,SEKER
35967,1.169438462,0.92441876,36223,SEKER
35969,1.074654359,0.962873769,36555,SEKER
35972,1.189517235,0.916565581,36336,SEKER
35975,1.207596555,0.909318041,36307,SEKER
35977,1.332517194,0.865859359,36371,SEKER
35978,1.292520761,0.878861949,36297,SEKER
35996,1.208087835,0.909661902,36312,SEKER
36000,1.069792155,0.965705231,36450,SEKER
36006,1.147337151,0.93342736,36489,SEKER
36013,1.375092267,0.852376813,36327,SEKER
36022,1.257914703,0.891015953,36323,SEKER
36029,1.239311249,0.897430051,36371,SEKER
36032,1.240504319,0.89706251,36713,SEKER
36036,1.213938849,0.906974714,36286,SEKER
36044,1.187687575,0.917139669,36384,SEKER
36059,1.222811885,0.90389085,36417,SEKER
36075,1.233503297,0.899867309,36522,SEKER
36076,1.287155412,0.880072647,36427,SEKER
36082,1.192642604,0.915376424,36409,SEKER
36085,1.224290207,0.903236845,36414,SEKER
36092,1.213784898,0.907183277,36433,SEKER
36100,1.218208895,0.905555936,36350,SEKER
36104,1.335878229,0.8646426,36456,SEKER
