year,nhood,city,county,price,beds,baths,sqft
2013,alameda,alameda,alameda,2595,4.0,3.0,1756.0
2012,alameda,alameda,alameda,1375,2.0,1.0,700.0
2012,alameda,alameda,alameda,1950,3.0,2.0,1400.0
2012,alameda,alameda,alameda,1640,2.0,1.5,895.0
2016,alameda,alameda,alameda,3100,2.0,1.0,1200.0
2012,alameda,alameda,alameda,1000,2.0,1.0,1185.0
2012,alameda,alameda,alameda,1555,3.0,2.5,1626.0
2013,alameda,alameda,alameda,2150,3.0,3.0,1014.0
2016,alameda,alameda,alameda,2100,1.0,1.0,752.0
2014,alameda,alameda,alameda,4200,3.0,2.5,2205.0
2017,alameda,alameda,alameda,3750,3.0,2.5,1500.0
2014,alameda,alameda,alameda,1275,2.0,2.5,1025.0
2015,alameda,alameda,alameda,2723,2.0,1.0,902.0
2014,alameda,alameda,alameda,1939,2.0,1.0,864.0
2018,alameda,alameda,alameda,2500,2.0,1.0,1050.0
2017,alameda,alameda,alameda,2795,2.0,1.0,950.0
2011,alameda,alameda,alameda,1985,4.0,2.0,2000.0
2016,alameda,alameda,alameda,2800,2.0,1.5,1100.0
2014,alameda,alameda,alameda,1895,2.0,1.0,870.0
2014,alameda,alameda,alameda,1275,1.0,1.5,925.0
2018,alameda,alameda,alameda,3000,3.0,1.5,1100.0
2018,alameda,alameda,alameda,2743,2.0,2.0,1120.0
2012,alameda,alameda,alameda,2450,3.0,2.0,1600.0
2016,alameda,alameda,alameda,2550,2.0,1.0,950.0
2014,alameda,alameda,alameda,2250,2.0,1.0,1080.0
2016,alameda,alameda,alameda,4100,4.0,2.5,2300.0
2011,alameda,alameda,alameda,2400,2.0,2.0,2500.0
2012,alameda,alameda,alameda,1900,2.0,1.0,1200.0
2017,alameda,alameda,alameda,2300,1.0,1.0,773.0
2012,alameda,alameda,alameda,1550,2.0,2.0,1120.0
2018,alameda,alameda,alameda,1800,2.0,1.0,650.0
2017,alameda,alameda,alameda,3995,3.0,2.0,1787.0
2006,alameda,alameda,alameda,1495,2.0,2.0,1050.0
2016,alameda,alameda,alameda,2150,2.0,1.0,950.0
2016,alameda,alameda,alameda,1450,3.0,2.0,1981.0
2012,alameda,alameda,alameda,2400,4.0,2.0,1500.0
2015,alameda,alameda,alameda,2536,2.0,2.0,1225.0
2006,alameda,alameda,alameda,1495,2.0,2.0,1050.0
2016,alameda,alameda,alameda,2255,1.0,1.0,675.0
2015,alameda,alameda,alameda,2650,2.0,1.0,950.0
2014,alameda,alameda,alameda,1350,3.0,2.5,1350.0
2016,alameda,alameda,alameda,2650,2.0,2.0,950.0
2016,alameda,alameda,alameda,2957,2.0,2.0,1120.0
2012,alameda,alameda,alameda,2650,3.0,2.5,2000.0
2011,alameda,alameda,alameda,1745,2.0,2.0,1225.0
2007,alameda,alameda,alameda,2800,4.0,3.0,2600.0
2012,alameda,alameda,alameda,3000,3.0,2.0,1841.0
2012,alameda,alameda,alameda,1841,2.0,2.0,1035.0
2012,alameda,alameda,alameda,1250,2.0,1.0,950.0
2015,alameda,alameda,alameda,1950,2.0,1.0,800.0
2018,alameda,alameda,alameda,2950,2.0,1.0,800.0
2012,alameda,alameda,alameda,1100,1.0,1.0,700.0
2016,alameda,alameda,alameda,2450,2.0,1.0,1042.0
2016,alameda,alameda,alameda,1999,2.0,1.0,729.0
2016,alameda,alameda,alameda,2707,1.0,1.0,580.0
2016,alameda,alameda,alameda,1800,2.0,1.0,700.0
2015,alameda,alameda,alameda,2650,2.0,1.0,950.0
2006,alameda,alameda,alameda,1200,2.0,2.0,1100.0
2016,alameda,alameda,alameda,1750,1.0,1.0,576.0
2016,alameda,alameda,alameda,2750,1.0,1.0,700.0
2012,alameda,alameda,alameda,3000,3.0,2.5,2205.0
2014,alameda,alameda,alameda,3295,4.0,1.0,1716.0
2016,alameda,alameda,alameda,3100,2.0,1.0,1350.0
2014,alameda,alameda,alameda,1860,1.0,1.0,705.0
2014,alameda,alameda,alameda,1150,3.0,2.0,1405.0
2016,alameda,alameda,alameda,2750,2.0,1.0,800.0
2002,alamo square,san francisco,san francisco,2550,3.0,2.0,1432.0
2012,alamo square,san francisco,san francisco,2295,1.0,1.0,420.0
2005,alamo square,san francisco,san francisco,4800,3.0,1.0,1800.0
2014,alamo square,san francisco,san francisco,3150,2.0,2.0,700.0
2015,alamo square,san francisco,san francisco,3150,1.0,1.0,1000.0
2015,alamo square,san francisco,san francisco,7900,4.0,1.0,1700.0
2012,alamo square,san francisco,san francisco,5295,3.0,2.0,1400.0
2012,alamo square,san francisco,san francisco,2200,1.0,1.0,420.0
2014,alamo square,san francisco,san francisco,1475,3.0,2.0,1450.0
2011,alamo square,san francisco,san francisco,5295,3.0,2.0,1400.0
2014,alamo square,san francisco,san francisco,1450,3.0,2.0,1300.0
2014,alamo square,san francisco,san francisco,3400,2.0,2.0,900.0
2016,alamo square,san francisco,san francisco,3250,1.0,1.0,900.0
2012,alamo square,san francisco,san francisco,5295,3.0,2.0,1400.0
2018,alamo square,san francisco,san francisco,5200,3.0,2.0,1500.0
2016,alamo square,san francisco,san francisco,7000,3.0,2.0,1500.0
2014,alamo square,san francisco,san francisco,3995,2.0,2.0,1100.0
2014,alamo square,san francisco,san francisco,1025,1.0,1.0,1000.0
2015,alamo square,san francisco,san francisco,2350,1.0,1.0,560.0
2011,alamo square,san francisco,san francisco,4500,2.0,2.0,1860.0
2015,alamo square,san francisco,san francisco,5300,2.0,2.0,1100.0
2016,albany / el cerrito,el cerrito,contra costa,1750,2.0,1.0,975.0
