City,County,Year,TOTALproduction,SFproduction,Mfproduction,Mhproduction,Source
Alameda,Alameda County,1990,295,178,96,21,DOF_E-8
Albany,Alameda County,1990,-12,-1,-11,0,DOF_E-8
Berkeley,Alameda County,1990,70,73,-6,3,DOF_E-8
Dublin,Alameda County,1990,112,58,54,0,DOF_E-8
Emeryville,Alameda County,1990,-5,-24,17,2,DOF_E-8
Fremont,Alameda County,1990,482,434,50,-2,DOF_E-8
Hayward,Alameda County,1990,1056,487,566,3,DOF_E-8
Livermore,Alameda County,1990,718,406,309,3,DOF_E-8
Newark,Alameda County,1990,70,40,27,3,DOF_E-8
Oakland,Alameda County,1990,699,425,254,20,DOF_E-8
Piedmont,Alameda County,1990,2,3,-2,1,DOF_E-8
Pleasanton,Alameda County,1990,530,221,306,3,DOF_E-8
San Leandro,Alameda County,1990,4,22,-21,3,DOF_E-8
Union City,Alameda County,1990,90,94,-3,-1,DOF_E-8
Unincorporated Alameda,Alameda County,1990,-510,-250,-258,-2,DOF_E-8
Antioch,Contra Costa County,1990,597,565,25,7,DOF_E-8
Brentwood,Contra Costa County,1990,142,66,67,9,DOF_E-8
Clayton,Contra Costa County,1990,180,177,3,0,DOF_E-8
Concord,Contra Costa County,1990,360,109,255,-4,DOF_E-8
Danville,Contra Costa County,1990,308,180,129,-1,DOF_E-8
El Cerrito,Contra Costa County,1990,23,1,25,-3,DOF_E-8
Hercules,Contra Costa County,1990,264,259,6,-1,DOF_E-8
Lafayette,Contra Costa County,1990,22,23,-1,0,DOF_E-8
Martinez,Contra Costa County,1990,80,91,-11,0,DOF_E-8
Moraga,Contra Costa County,1990,12,23,-11,0,DOF_E-8
Orinda,Contra Costa County,1990,39,36,3,0,DOF_E-8
Pinole,Contra Costa County,1990,147,36,129,-18,DOF_E-8
Pittsburg,Contra Costa County,1990,173,214,-43,2,DOF_E-8
Pleasant Hill,Contra Costa County,1990,24,33,-9,0,DOF_E-8
Richmond,Contra Costa County,1990,488,172,311,5,DOF_E-8
San Pablo,Contra Costa County,1990,49,3,46,0,DOF_E-8
San Ramon,Contra Costa County,1990,276,240,36,0,DOF_E-8
Walnut Creek,Contra Costa County,1990,201,82,117,2,DOF_E-8
Unincorporated Contra Costa,Contra Costa County,1990,805,747,27,31,DOF_E-8
Belvedere,Marin County,1990,2,3,-1,0,DOF_E-8
Corte Madera,Marin County,1990,2,-9,10,1,DOF_E-8
Fairfax,Marin County,1990,24,21,2,1,DOF_E-8
Larkspur,Marin County,1990,32,13,19,0,DOF_E-8
Mill Valley,Marin County,1990,22,25,-3,0,DOF_E-8
Novato,Marin County,1990,45,46,-6,5,DOF_E-8
Ross,Marin County,1990,3,3,-1,1,DOF_E-8
San Anselmo,Marin County,1990,6,5,0,1,DOF_E-8
San Rafael,Marin County,1990,346,85,258,3,DOF_E-8
Sausalito,Marin County,1990,8,11,-19,16,DOF_E-8
Tiburon,Marin County,1990,41,37,4,0,DOF_E-8
Unincorporated Marin,Marin County,1990,180,168,10,2,DOF_E-8
Calistoga,Napa County,1990,3,1,3,-1,DOF_E-8
Napa,Napa County,1990,366,258,111,-3,DOF_E-8
St. Helena,Napa County,1990,15,19,2,-6,DOF_E-8
Yountville,Napa County,1990,12,10,3,-1,DOF_E-8
Unincorporated Napa,Napa County,1990,220,227,-32,25,DOF_E-8
San Francisco,San Francisco County,1990,2145,418,1693,34,DOF_E-8
Atherton,San Mateo County,1990,7,8,-1,0,DOF_E-8
Belmont,San Mateo County,1990,87,74,13,0,DOF_E-8
Brisbane,San Mateo County,1990,8,29,-20,-1,DOF_E-8
Burlingame,San Mateo County,1990,14,5,9,0,DOF_E-8
Colma,San Mateo County,1990,-3,1,1,-5,DOF_E-8
Daly City,San Mateo County,1990,108,143,-30,-5,DOF_E-8
East Palo Alto,San Mateo County,1990,-20,20,-32,-8,DOF_E-8
Foster City,San Mateo County,1990,32,8,24,0,DOF_E-8
Half Moon Bay,San Mateo County,1990,266,255,3,8,DOF_E-8
Hillsborough,San Mateo County,1990,11,12,-1,0,DOF_E-8
Menlo Park,San Mateo County,1990,64,15,49,0,DOF_E-8
Millbrae,San Mateo County,1990,29,-4,32,1,DOF_E-8
Pacifica,San Mateo County,1990,32,26,7,-1,DOF_E-8
Portola Valley,San Mateo County,1990,7,6,1,0,DOF_E-8
Redwood City,San Mateo County,1990,268,111,115,42,DOF_E-8
San Bruno,San Mateo County,1990,-17,14,-26,-5,DOF_E-8
San Carlos,San Mateo County,1990,22,31,-7,-2,DOF_E-8
San Mateo,San Mateo County,1990,229,13,214,2,DOF_E-8
South San Francisco,San Mateo County,1990,38,33,5,0,DOF_E-8
Woodside,San Mateo County,1990,13,13,0,0,DOF_E-8
Unincorporated San Mateo,San Mateo County,1990,77,81,0,-4,DOF_E-8
Campbell,Santa Clara County,1990,-30,8,-28,-10,DOF_E-8
