year,Alameda County,Marin County,Santa Clara County,Napa County,Contra Costa County,San Mateo County,San Francisco County,Sonoma County,Solano County
1990,3601,711,2476,616,4190,1272,2145,2531,2623
1991,226,800,3262,556,4248,608,2160,2827,1709
1992,2652,352,2614,656,5168,343,1269,2524,1279
1993,3049,295,2757,354,3000,365,877,1717,1367
1994,2617,279,2494,409,3608,414,1266,2196,1199
1995,3515,278,2253,281,3155,816,1428,1583,1062
1996,3179,537,2723,285,3363,929,1089,1506,1030
1997,4591,575,6343,233,3703,1065,1774,1461,1585
1998,6022,497,6849,345,3205,1144,2263,1893,1214
1999,5601,797,6392,582,3932,1720,2837,3089,1715
2000,5126,624,5916,533,3588,1295,2540,2883,2063
2001,4071,728,6183,731,4807,1736,2852,2425,2498
2002,4513,755,5980,728,4554,1552,3840,2451,2477
2003,3608,721,5033,1175,5357,973,2055,1965,1966
2004,4733,886,6535,709,6576,1135,2224,1776,2990
2005,4302,490,5302,770,8208,438,2723,2328,2871
2006,4062,874,5256,641,5351,414,2976,2062,1789
2007,5167,394,5810,445,3825,1350,3496,2807,916
2008,4096,381,4061,270,2576,876,4112,1577,633
2009,3008,410,3056,205,1008,734,3926,1749,463
2010,879,182,1608,159,1797,477,865,426,607
2011,1322,110,3605,107,1436,720,299,525,420
2012,2425,106,2698,95,1287,319,1279,502,499
2013,2474,117,5245,71,1716,1055,2377,672,671
2014,2288,150,7316,104,1833,1080,3514,365,658
2015,2428,106,5353,121,2122,1424,2848,504,935
2016,3273,87,4515,187,2415,1153,5114,647,1180
2017,5030,295,6095,-410,1725,855,4464,-4474,1231
2018,4010,100,3469,23,2139,1204,2289,1397,800
