post_id,date,year,nhood,city,county,price,beds,baths,sqft,room_in_apt,address,lat,lon,title,descr,details
pre2013_6254,20090205,2009,alameda,alameda,alameda,450,NA,1,NA,0,NA,NA,NA,"$450 Sleeping room, all utilities included, shared bath, kitchen -",NA,NA
pre2013_152262,20060411,2006,alameda,alameda,alameda,1395,2,NA,NA,0,NA,NA,NA,"$1395 / 2br - Huge Units! Lagoon Complex, Free Cable/DSL, Parking, Pool",NA,NA
5536682206,20160413,2016,alameda,alameda,alameda,4895,4,NA,2499,0,NA,NA,NA,"Nis 12 4Br/3Ba, Alameda Executive home by Marina. ***PHOTOS***   $4895 / 4br - 2499ft2 -    (alameda)   resim har.",NA,NA
6372751849,20171108,2017,alameda,alameda,alameda,1795,1,NA,515,0,NA,NA,NA,"Upgraded Jr. 1/1 parking, storage near Park",NA,NA
pre2013_91,20060705,2006,alameda,alameda,alameda,1480,2,NA,NA,0,NA,NA,NA,"$1480 / 2br - Deluxe Apartment Clubhouse, Fitness Center & Pool",NA,NA
pre2013_124781,20040908,2004,alameda,alameda,alameda,1250,1,NA,NA,0,NA,NA,NA,"$1250 / 1br - GOLD COAST Stunning 1br, frml din, top flr, hrdwd, view, cat OK, etc",NA,NA
pre2013_29538,20110111,2011,alameda,alameda,alameda,1300,2,NA,NA,0,NA,NA,NA,"$1300 / 2br - NO FEE! Courtyard Like Setting, upper unit, coin ldry, prkg",NA,NA
pre2013_29529,20110111,2011,alameda,alameda,alameda,930,1,NA,NA,0,NA,NA,NA,$930 / 1br - 1 updated nofee bdr. unit in alameda,NA,NA
pre2013_71955,20120729,2012,alameda,alameda,alameda,1100,2,NA,1929,0,NA,NA,NA,$1100 / 2br - 1929ft² - 2bedroom home/2326 Clement Ave,NA,NA
6287061512,20170830,2017,alameda,alameda,alameda,1200,1,NA,650,0,NA,NA,NA,1 Bedrooms Apartment,NA,NA
pre2013_108870,20040921,2004,alameda,alameda,alameda,2200,3,NA,NA,0,NA,NA,NA,$2200 / 3br - Great Westside Alameda neighborhood;Totally Remodled House,NA,NA
pre2013_135628,20050126,2005,alameda,alameda,alameda,1195,1,NA,NA,0,NA,NA,NA,$1195 / 1br - Lovely Cottages: 1 MONTH FREE + $500 TRADER JOES SHOPPING CERTIFICATE!,NA,NA
pre2013_125730,20040921,2004,alameda,alameda,alameda,1295,1,NA,NA,0,NA,NA,NA,$1295 / 1br - Remodeled Cottage,NA,NA
pre2013_1131,20060718,2006,alameda,alameda,alameda,1325,2,NA,NA,0,NA,NA,NA,$1325 / 2br - Open house Today,NA,NA
